USD,1.3322,2009,05,06
USD,1.3363,2009,05,07
USD,1.3425,2009,05,08
USD,1.3574,2009,05,11
USD,1.3683,2009,05,12
USD,1.3623,2009,05,13
USD,1.3563,2009,05,14
USD,1.3518,2009,05,15
USD,1.3494,2009,05,18
USD,1.3612,2009,05,19
USD,1.369,2009,05,20
USD,1.3771,2009,05,21
USD,1.3972,2009,05,22
USD,1.401,2009,05,25
USD,1.3908,2009,05,26
USD,1.3901,2009,05,27
USD,1.3856,2009,05,28
USD,1.4098,2009,05,29
USD,1.422,2009,06,01
USD,1.4238,2009,06,02
USD,1.4207,2009,06,03
USD,1.4095,2009,06,04
USD,1.4177,2009,06,05
USD,1.3866,2009,06,08
USD,1.3959,2009,06,09
USD,1.4102,2009,06,10
USD,1.3969,2009,06,11
USD,1.4004,2009,06,12
USD,1.385,2009,06,15
USD,1.389,2009,06,16
USD,1.384,2009,06,17
USD,1.392,2009,06,18
USD,1.3932,2009,06,19
USD,1.3858,2009,06,22
USD,1.3978,2009,06,23
USD,1.4029,2009,06,24
USD,1.394,2009,06,25
USD,1.4096,2009,06,26
USD,1.4058,2009,06,29
USD,1.4134,2009,06,30
USD,1.4096,2009,07,01
USD,1.4049,2009,07,02
USD,1.4009,2009,07,03
USD,1.3897,2009,07,06
USD,1.4019,2009,07,07
USD,1.3901,2009,07,08
USD,1.399,2009,07,09
USD,1.3901,2009,07,10
USD,1.3975,2009,07,13
USD,1.3991,2009,07,14
USD,1.4089,2009,07,15
USD,1.413,2009,07,16
USD,1.409,2009,07,17
USD,1.4217,2009,07,20
USD,1.4223,2009,07,21
USD,1.4191,2009,07,22
USD,1.4229,2009,07,23
USD,1.4227,2009,07,24
USD,1.4269,2009,07,27
USD,1.4229,2009,07,28
USD,1.4104,2009,07,29
USD,1.4053,2009,07,30
USD,1.4138,2009,07,31
USD,1.4303,2009,08,03
USD,1.4384,2009,08,04
USD,1.441,2009,08,05
USD,1.437,2009,08,06
USD,1.4357,2009,08,07
USD,1.4202,2009,08,10
USD,1.4166,2009,08,11
USD,1.417,2009,08,12
USD,1.4293,2009,08,13
USD,1.4294,2009,08,14
USD,1.4072,2009,08,17
USD,1.4101,2009,08,18
USD,1.4112,2009,08,19
USD,1.4243,2009,08,20
USD,1.433,2009,08,21
USD,1.4323,2009,08,24
USD,1.4324,2009,08,25
USD,1.427,2009,08,26
USD,1.4268,2009,08,27
USD,1.4364,2009,08,28
USD,1.4272,2009,08,31
USD,1.4314,2009,09,01
USD,1.422,2009,09,02
USD,1.4335,2009,09,03
USD,1.4262,2009,09,04
USD,1.433,2009,09,07
USD,1.4473,2009,09,08
USD,1.4522,2009,09,09
USD,1.4545,2009,09,10
USD,1.4594,2009,09,11
USD,1.4561,2009,09,14
USD,1.4611,2009,09,15
USD,1.4671,2009,09,16
USD,1.4712,2009,09,17
USD,1.4705,2009,09,18
USD,1.4658,2009,09,21
USD,1.478,2009,09,22
USD,1.4783,2009,09,23
USD,1.4768,2009,09,24
USD,1.467,2009,09,25
USD,1.465,2009,09,28
USD,1.4549,2009,09,29
USD,1.4643,2009,09,30
USD,1.4539,2009,10,01
USD,1.4537,2009,10,02
USD,1.4616,2009,10,05
USD,1.4722,2009,10,06
USD,1.4694,2009,10,07
USD,1.4763,2009,10,08
USD,1.475,2009,10,09
USD,1.4765,2009,10,12
USD,1.4864,2009,10,13
USD,1.4881,2009,10,14
USD,1.4864,2009,10,15
USD,1.4869,2009,10,16
USD,1.4918,2009,10,19
USD,1.4971,2009,10,20
USD,1.4921,2009,10,21
USD,1.5,2009,10,22
USD,1.502,2009,10,23
USD,1.5019,2009,10,26
USD,1.4874,2009,10,27
USD,1.4785,2009,10,28
USD,1.4788,2009,10,29
USD,1.48,2009,10,30
USD,1.4772,2009,11,02
USD,1.4658,2009,11,03
USD,1.4761,2009,11,04
USD,1.4867,2009,11,05
USD,1.4862,2009,11,06
USD,1.4984,2009,11,09
USD,1.4966,2009,11,10
USD,1.5037,2009,11,11
USD,1.4922,2009,11,12
USD,1.4868,2009,11,13
USD,1.4965,2009,11,16
USD,1.4875,2009,11,17
USD,1.4957,2009,11,18
USD,1.4863,2009,11,19
USD,1.4815,2009,11,20
USD,1.4968,2009,11,23
USD,1.4969,2009,11,24
USD,1.5083,2009,11,25
USD,1.5071,2009,11,26
USD,1.4918,2009,11,27
USD,1.5023,2009,11,30
USD,1.5074,2009,12,01
USD,1.509,2009,12,02
USD,1.512,2009,12,03
USD,1.5068,2009,12,04
USD,1.4787,2009,12,07
USD,1.4774,2009,12,08
USD,1.4768,2009,12,09
USD,1.473,2009,12,10
USD,1.4757,2009,12,11
USD,1.4647,2009,12,14
USD,1.4541,2009,12,15
USD,1.456,2009,12,16
USD,1.4343,2009,12,17
USD,1.4337,2009,12,18
USD,1.4368,2009,12,21
USD,1.4279,2009,12,22
USD,1.4276,2009,12,23
USD,1.4398,2009,12,24
USD,1.4405,2009,12,28
USD,1.4433,2009,12,29
USD,1.4338,2009,12,30
USD,1.4406,2009,12,31
USD,1.4389,2010,01,04
USD,1.4442,2010,01,05
USD,1.435,2010,01,06
USD,1.4304,2010,01,07
USD,1.4273,2010,01,08
USD,1.4528,2010,01,11
USD,1.4481,2010,01,12
USD,1.4563,2010,01,13
USD,1.4486,2010,01,14
USD,1.4374,2010,01,15
USD,1.4369,2010,01,18
USD,1.4279,2010,01,19
USD,1.4132,2010,01,20
USD,1.4064,2010,01,21
USD,1.4135,2010,01,22
USD,1.4151,2010,01,25
USD,1.4085,2010,01,26
USD,1.4072,2010,01,27
USD,1.3999,2010,01,28
USD,1.3966,2010,01,29
USD,1.3913,2010,02,01
USD,1.3937,2010,02,02
USD,1.3984,2010,02,03
USD,1.3847,2010,02,04
USD,1.3691,2010,02,05
USD,1.3675,2010,02,08
USD,1.376,2010,02,09
USD,1.374,2010,02,10
USD,1.3718,2010,02,11
USD,1.3572,2010,02,12
USD,1.3607,2010,02,15
USD,1.3649,2010,02,16
USD,1.3726,2010,02,17
USD,1.3567,2010,02,18
USD,1.3519,2010,02,19
USD,1.3626,2010,02,22
USD,1.3577,2010,02,23
USD,1.3547,2010,02,24
USD,1.3489,2010,02,25
USD,1.357,2010,02,26
USD,1.3525,2010,03,01
USD,1.3548,2010,03,02
USD,1.3641,2010,03,03
USD,1.3668,2010,03,04
USD,1.3582,2010,03,05
USD,1.3662,2010,03,08
USD,1.3557,2010,03,09
USD,1.361,2010,03,10
USD,1.3657,2010,03,11
USD,1.3765,2010,03,12
USD,1.3705,2010,03,15
USD,1.3723,2010,03,16
USD,1.3756,2010,03,17
USD,1.366,2010,03,18
USD,1.3548,2010,03,19
USD,1.3471,2010,03,22
USD,1.3519,2010,03,23
USD,1.3338,2010,03,24
USD,1.3356,2010,03,25
USD,1.3353,2010,03,26
USD,1.3471,2010,03,29
USD,1.3482,2010,03,30
USD,1.3479,2010,03,31
USD,1.3468,2010,04,01
USD,1.3396,2010,04,06
USD,1.334,2010,04,07
USD,1.3296,2010,04,08
USD,1.3384,2010,04,09
USD,1.3585,2010,04,12
USD,1.3583,2010,04,13
USD,1.3615,2010,04,14
USD,1.3544,2010,04,15
USD,1.3535,2010,04,16
USD,1.3432,2010,04,19
USD,1.3486,2010,04,20
USD,1.3373,2010,04,21
USD,1.3339,2010,04,22
USD,1.3311,2010,04,23
USD,1.3321,2010,04,26
USD,1.329,2010,04,27
USD,1.3245,2010,04,28
USD,1.3256,2010,04,29
USD,1.3315,2010,04,30
USD,1.3238,2010,05,03
USD,1.3089,2010,05,04
USD,1.2924,2010,05,05
USD,1.2727,2010,05,06
USD,1.2746,2010,05,07
USD,1.2969,2010,05,10
USD,1.2698,2010,05,11
USD,1.2686,2010,05,12
USD,1.2587,2010,05,13
USD,1.2492,2010,05,14
USD,1.2349,2010,05,17
USD,1.2428,2010,05,18
USD,1.227,2010,05,19
USD,1.2334,2010,05,20
USD,1.2497,2010,05,21
USD,1.236,2010,05,24
USD,1.2223,2010,05,25
USD,1.2309,2010,05,26
USD,1.2255,2010,05,27
USD,1.2384,2010,05,28
USD,1.2307,2010,05,31
USD,1.2155,2010,06,01
USD,1.2218,2010,06,02
USD,1.2268,2010,06,03
USD,1.206,2010,06,04
USD,1.1959,2010,06,07
USD,1.1942,2010,06,08
USD,1.201,2010,06,09
USD,1.2045,2010,06,10
USD,1.2127,2010,06,11
USD,1.2249,2010,06,14
USD,1.2258,2010,06,15
USD,1.2277,2010,06,16
USD,1.2363,2010,06,17
USD,1.2372,2010,06,18
USD,1.2391,2010,06,21
USD,1.2258,2010,06,22
USD,1.2271,2010,06,23
USD,1.2262,2010,06,24
USD,1.2294,2010,06,25
USD,1.2339,2010,06,28
USD,1.2198,2010,06,29
USD,1.2271,2010,06,30
USD,1.2328,2010,07,01
USD,1.2548,2010,07,02
USD,1.2531,2010,07,05
USD,1.2579,2010,07,06
USD,1.2567,2010,07,07
USD,1.266,2010,07,08
USD,1.2637,2010,07,09
USD,1.2572,2010,07,12
USD,1.2569,2010,07,13
USD,1.2703,2010,07,14
USD,1.2828,2010,07,15
USD,1.3,2010,07,16
USD,1.2957,2010,07,19
USD,1.2844,2010,07,20
USD,1.2817,2010,07,21
USD,1.285,2010,07,22
USD,1.2897,2010,07,23
USD,1.2931,2010,07,26
USD,1.3033,2010,07,27
USD,1.2992,2010,07,28
USD,1.3069,2010,07,29
USD,1.3028,2010,07,30
USD,1.3073,2010,08,02
USD,1.3221,2010,08,03
USD,1.3206,2010,08,04
USD,1.3184,2010,08,05
USD,1.3176,2010,08,06
USD,1.3253,2010,08,09
USD,1.3133,2010,08,10
USD,1.3016,2010,08,11
USD,1.279,2010,08,12
USD,1.2799,2010,08,13
USD,1.282,2010,08,16
USD,1.286,2010,08,17
USD,1.288,2010,08,18
USD,1.2836,2010,08,19
USD,1.2711,2010,08,20
USD,1.2704,2010,08,23
USD,1.2611,2010,08,24
USD,1.2613,2010,08,25
USD,1.2693,2010,08,26
USD,1.2713,2010,08,27
USD,1.27,2010,08,30
USD,1.268,2010,08,31
USD,1.28,2010,09,01
USD,1.2818,2010,09,02
USD,1.2834,2010,09,03
USD,1.2874,2010,09,06
USD,1.2744,2010,09,07
USD,1.2697,2010,09,08
USD,1.2715,2010,09,09
USD,1.2725,2010,09,10
USD,1.2801,2010,09,13
USD,1.285,2010,09,14
USD,1.2989,2010,09,15
USD,1.3078,2010,09,16
USD,1.306,2010,09,17
USD,1.3074,2010,09,20
USD,1.312,2010,09,21
USD,1.3364,2010,09,22
USD,1.3323,2010,09,23
USD,1.3412,2010,09,24
USD,1.3477,2010,09,27
USD,1.346,2010,09,28
USD,1.3611,2010,09,29
USD,1.3648,2010,09,30
USD,1.3726,2010,10,01
USD,1.3705,2010,10,04
USD,1.378,2010,10,05
USD,1.3856,2010,10,06
USD,1.397,2010,10,07
USD,1.3874,2010,10,08
USD,1.3936,2010,10,11
USD,1.3833,2010,10,12
USD,1.3958,2010,10,13
USD,1.4101,2010,10,14
USD,1.4089,2010,10,15
USD,1.3896,2010,10,18
USD,1.3859,2010,10,19
USD,1.3861,2010,10,20
USD,1.4016,2010,10,21
USD,1.3934,2010,10,22
USD,1.4031,2010,10,25
USD,1.3912,2010,10,26
USD,1.3803,2010,10,27
USD,1.3857,2010,10,28
USD,1.3857,2010,10,29
USD,1.3926,2010,11,01
USD,1.4018,2010,11,02
USD,1.4014,2010,11,03
USD,1.4244,2010,11,04
USD,1.4084,2010,11,05
USD,1.3917,2010,11,08
USD,1.3945,2010,11,09
USD,1.377,2010,11,10
USD,1.37,2010,11,11
USD,1.3711,2010,11,12
USD,1.3626,2010,11,15
USD,1.3612,2010,11,16
USD,1.3481,2010,11,17
USD,1.3647,2010,11,18
USD,1.3674,2010,11,19
USD,1.3647,2010,11,22
USD,1.3496,2010,11,23
USD,1.3339,2010,11,24
USD,1.3321,2010,11,25
USD,1.3225,2010,11,26
USD,1.3146,2010,11,29
USD,1.2998,2010,11,30
USD,1.3115,2010,12,01
USD,1.3155,2010,12,02
USD,1.3246,2010,12,03
USD,1.328,2010,12,06
USD,1.3363,2010,12,07
USD,1.32,2010,12,08
USD,1.3214,2010,12,09
USD,1.3244,2010,12,10
USD,1.3267,2010,12,13
USD,1.3435,2010,12,14
USD,1.336,2010,12,15
USD,1.3238,2010,12,16
USD,1.326,2010,12,17
USD,1.3147,2010,12,20
USD,1.3155,2010,12,21
USD,1.3112,2010,12,22
USD,1.3064,2010,12,23
USD,1.3099,2010,12,24
USD,1.3136,2010,12,27
USD,1.3195,2010,12,28
USD,1.3136,2010,12,29
USD,1.328,2010,12,30
USD,1.3362,2010,12,31
USD,1.3348,2011,01,03
USD,1.3421,2011,01,04
USD,1.3213,2011,01,05
USD,1.3091,2011,01,06
USD,1.2961,2011,01,07
USD,1.2903,2011,01,10
USD,1.2948,2011,01,11
USD,1.2973,2011,01,12
USD,1.3199,2011,01,13
USD,1.3349,2011,01,14
USD,1.3311,2011,01,17
USD,1.3371,2011,01,18
USD,1.3506,2011,01,19
USD,1.3472,2011,01,20
USD,1.3521,2011,01,21
USD,1.3571,2011,01,24
USD,1.3596,2011,01,25
USD,1.3681,2011,01,26
USD,1.3716,2011,01,27
USD,1.371,2011,01,28
USD,1.3692,2011,01,31
USD,1.3755,2011,02,01
USD,1.3803,2011,02,02
USD,1.3745,2011,02,03
USD,1.3631,2011,02,04
USD,1.3553,2011,02,07
USD,1.3635,2011,02,08
USD,1.3647,2011,02,09
USD,1.3604,2011,02,10
USD,1.3524,2011,02,11
USD,1.344,2011,02,14
USD,1.351,2011,02,15
USD,1.351,2011,02,16
USD,1.356,2011,02,17
USD,1.3627,2011,02,18
USD,1.3668,2011,02,21
USD,1.3667,2011,02,22
USD,1.3731,2011,02,23
USD,1.3773,2011,02,24
USD,1.3762,2011,02,25
USD,1.3834,2011,02,28
USD,1.3825,2011,03,01
USD,1.3809,2011,03,02
USD,1.385,2011,03,03
USD,1.3957,2011,03,04
USD,1.4028,2011,03,07
USD,1.3898,2011,03,08
USD,1.3928,2011,03,09
USD,1.3817,2011,03,10
USD,1.3773,2011,03,11
USD,1.3948,2011,03,14
USD,1.3884,2011,03,15
USD,1.3951,2011,03,16
USD,1.4004,2011,03,17
USD,1.413,2011,03,18
USD,1.4194,2011,03,21
USD,1.4211,2011,03,22
USD,1.4136,2011,03,23
USD,1.4128,2011,03,24
USD,1.4115,2011,03,25
USD,1.4032,2011,03,28
USD,1.4066,2011,03,29
USD,1.409,2011,03,30
USD,1.4207,2011,03,31
USD,1.4141,2011,04,01
USD,1.424,2011,04,04
USD,1.4166,2011,04,05
USD,1.43,2011,04,06
USD,1.4283,2011,04,07
USD,1.4401,2011,04,08
USD,1.4434,2011,04,11
USD,1.447,2011,04,12
USD,1.4493,2011,04,13
USD,1.4401,2011,04,14
USD,1.445,2011,04,15
USD,1.4275,2011,04,18
USD,1.4302,2011,04,19
USD,1.4515,2011,04,20
USD,1.4584,2011,04,21
USD,1.4617,2011,04,26
USD,1.4668,2011,04,27
USD,1.4794,2011,04,28
USD,1.486,2011,04,29
USD,1.4837,2011,05,02
USD,1.478,2011,05,03
USD,1.4882,2011,05,04
USD,1.4814,2011,05,05
USD,1.4501,2011,05,06
USD,1.4397,2011,05,09
USD,1.4358,2011,05,10
USD,1.4357,2011,05,11
USD,1.4153,2011,05,12
USD,1.428,2011,05,13
USD,1.4143,2011,05,16
USD,1.4171,2011,05,17
USD,1.4227,2011,05,18
USD,1.4265,2011,05,19
USD,1.4237,2011,05,20
USD,1.402,2011,05,23
USD,1.4089,2011,05,24
USD,1.4069,2011,05,25
USD,1.4168,2011,05,26
USD,1.4265,2011,05,27
USD,1.4272,2011,05,30
USD,1.4385,2011,05,31
USD,1.4408,2011,06,01
USD,1.446,2011,06,02
USD,1.4488,2011,06,03
USD,1.4596,2011,06,06
USD,1.4652,2011,06,07
USD,1.4608,2011,06,08
USD,1.4614,2011,06,09
USD,1.4486,2011,06,10
USD,1.4354,2011,06,13
USD,1.4448,2011,06,14
USD,1.4292,2011,06,15
USD,1.4088,2011,06,16
USD,1.427,2011,06,17
USD,1.4235,2011,06,20
USD,1.4373,2011,06,21
USD,1.4397,2011,06,22
USD,1.4212,2011,06,23
USD,1.422,2011,06,24
USD,1.4205,2011,06,27
USD,1.4261,2011,06,28
USD,1.4425,2011,06,29
USD,1.4453,2011,06,30
USD,1.4488,2011,07,01
USD,1.45,2011,07,04
USD,1.4461,2011,07,05
USD,1.4318,2011,07,06
USD,1.4247,2011,07,07
USD,1.4242,2011,07,08
USD,1.4056,2011,07,11
USD,1.3975,2011,07,12
USD,1.4073,2011,07,13
USD,1.4202,2011,07,14
USD,1.4146,2011,07,15
USD,1.4045,2011,07,18
USD,1.416,2011,07,19
USD,1.4207,2011,07,20
USD,1.4222,2011,07,21
USD,1.4391,2011,07,22
USD,1.438,2011,07,25
USD,1.4471,2011,07,26
USD,1.4446,2011,07,27
USD,1.426,2011,07,28
USD,1.426,2011,07,29
USD,1.4415,2011,08,01
USD,1.417,2011,08,02
USD,1.43,2011,08,03
USD,1.4229,2011,08,04
USD,1.4155,2011,08,05
USD,1.4225,2011,08,08
USD,1.4267,2011,08,09
USD,1.4367,2011,08,10
USD,1.4143,2011,08,11
USD,1.425,2011,08,12
USD,1.4309,2011,08,15
USD,1.436,2011,08,16
USD,1.4477,2011,08,17
USD,1.4369,2011,08,18
USD,1.4385,2011,08,19
USD,1.4413,2011,08,22
USD,1.4462,2011,08,23
USD,1.4433,2011,08,24
USD,1.4424,2011,08,25
USD,1.4402,2011,08,26
USD,1.4487,2011,08,29
USD,1.4402,2011,08,30
USD,1.445,2011,08,31
USD,1.4285,2011,09,01
USD,1.4255,2011,09,02
USD,1.4126,2011,09,05
USD,1.4099,2011,09,06
USD,1.4036,2011,09,07
USD,1.4044,2011,09,08
USD,1.3817,2011,09,09
USD,1.3656,2011,09,12
USD,1.3645,2011,09,13
USD,1.3729,2011,09,14
USD,1.3795,2011,09,15
USD,1.376,2011,09,16
USD,1.3641,2011,09,19
USD,1.371,2011,09,20
USD,1.3636,2011,09,21
USD,1.3448,2011,09,22
USD,1.343,2011,09,23
USD,1.35,2011,09,26
USD,1.3579,2011,09,27
USD,1.3631,2011,09,28
USD,1.3615,2011,09,29
USD,1.3503,2011,09,30
USD,1.3327,2011,10,03
USD,1.3181,2011,10,04
USD,1.3337,2011,10,05
USD,1.3269,2011,10,06
USD,1.3434,2011,10,07
USD,1.3593,2011,10,10
USD,1.3607,2011,10,11
USD,1.3766,2011,10,12
USD,1.3727,2011,10,13
USD,1.3807,2011,10,14
USD,1.3776,2011,10,17
USD,1.3676,2011,10,18
USD,1.3828,2011,10,19
USD,1.3807,2011,10,20
USD,1.3798,2011,10,21
USD,1.3856,2011,10,24
USD,1.3918,2011,10,25
USD,1.3927,2011,10,26
USD,1.4038,2011,10,27
USD,1.416,2011,10,28
USD,1.4001,2011,10,31
USD,1.3627,2011,11,01
USD,1.3809,2011,11,02
USD,1.3773,2011,11,03
USD,1.3773,2011,11,04
USD,1.3742,2011,11,07
USD,1.3788,2011,11,08
USD,1.3633,2011,11,09
USD,1.3616,2011,11,10
USD,1.365,2011,11,11
USD,1.3659,2011,11,14
USD,1.3532,2011,11,15
USD,1.3484,2011,11,16
USD,1.348,2011,11,17
USD,1.3576,2011,11,18
USD,1.3458,2011,11,21
USD,1.3535,2011,11,22
USD,1.3387,2011,11,23
USD,1.3373,2011,11,24
USD,1.3229,2011,11,25
USD,1.3348,2011,11,28
USD,1.3336,2011,11,29
USD,1.3418,2011,11,30
USD,1.3492,2011,12,01
USD,1.3511,2011,12,02
USD,1.3442,2011,12,05
USD,1.3394,2011,12,06
USD,1.3377,2011,12,07
USD,1.341,2011,12,08
USD,1.3384,2011,12,09
USD,1.3251,2011,12,12
USD,1.3181,2011,12,13
USD,1.2993,2011,12,14
USD,1.3019,2011,12,15
USD,1.3064,2011,12,16
USD,1.3039,2011,12,19
USD,1.3074,2011,12,20
USD,1.3054,2011,12,21
USD,1.3047,2011,12,22
USD,1.3057,2011,12,23
USD,1.3069,2011,12,27
USD,1.3074,2011,12,28
USD,1.2889,2011,12,29
USD,1.2939,2011,12,30
USD,1.2935,2012,01,02
USD,1.3014,2012,01,03
USD,1.2948,2012,01,04
USD,1.2832,2012,01,05
USD,1.2776,2012,01,06
USD,1.2728,2012,01,09
USD,1.2808,2012,01,10
USD,1.2718,2012,01,11
USD,1.2736,2012,01,12
USD,1.2771,2012,01,13
USD,1.2669,2012,01,16
USD,1.279,2012,01,17
USD,1.2831,2012,01,18
USD,1.2911,2012,01,19
USD,1.2902,2012,01,20
USD,1.3017,2012,01,23
USD,1.3003,2012,01,24
USD,1.2942,2012,01,25
USD,1.3145,2012,01,26
USD,1.3145,2012,01,27
USD,1.311,2012,01,30
USD,1.3176,2012,01,31
USD,1.3175,2012,02,01
USD,1.3094,2012,02,02
USD,1.316,2012,02,03
USD,1.3042,2012,02,06
USD,1.3113,2012,02,07
USD,1.3274,2012,02,08
USD,1.3288,2012,02,09
USD,1.3189,2012,02,10
USD,1.3254,2012,02,13
USD,1.3169,2012,02,14
USD,1.3092,2012,02,15
USD,1.2982,2012,02,16
USD,1.3159,2012,02,17
USD,1.3266,2012,02,20
USD,1.3222,2012,02,21
USD,1.323,2012,02,22
USD,1.33,2012,02,23
USD,1.3412,2012,02,24
USD,1.3388,2012,02,27
USD,1.3454,2012,02,28
USD,1.3443,2012,02,29
USD,1.3312,2012,03,01
USD,1.3217,2012,03,02
USD,1.322,2012,03,05
USD,1.3153,2012,03,06
USD,1.312,2012,03,07
USD,1.3242,2012,03,08
USD,1.3191,2012,03,09
USD,1.3119,2012,03,12
USD,1.3057,2012,03,13
USD,1.3062,2012,03,14
USD,1.3057,2012,03,15
USD,1.3116,2012,03,16
USD,1.315,2012,03,19
USD,1.3198,2012,03,20
USD,1.3225,2012,03,21
USD,1.3167,2012,03,22
USD,1.3242,2012,03,23
USD,1.3276,2012,03,26
USD,1.3333,2012,03,27
USD,1.3337,2012,03,28
USD,1.3272,2012,03,29
USD,1.3356,2012,03,30
USD,1.3319,2012,04,02
USD,1.3315,2012,04,03
USD,1.3142,2012,04,04
USD,1.3068,2012,04,05
USD,1.3114,2012,04,10
USD,1.3131,2012,04,11
USD,1.3153,2012,04,12
USD,1.3148,2012,04,13
USD,1.3024,2012,04,16
USD,1.3132,2012,04,17
USD,1.3093,2012,04,18
USD,1.3086,2012,04,19
USD,1.3192,2012,04,20
USD,1.3131,2012,04,23
USD,1.3161,2012,04,24
USD,1.3206,2012,04,25
USD,1.3215,2012,04,26
USD,1.3229,2012,04,27
USD,1.3214,2012,04,30
USD,1.3131,2012,05,02
USD,1.3123,2012,05,03
USD,1.3132,2012,05,04
USD,1.3033,2012,05,07
USD,1.3025,2012,05,08
USD,1.295,2012,05,09
USD,1.2961,2012,05,10
USD,1.2944,2012,05,11
USD,1.2863,2012,05,14
USD,1.2843,2012,05,15
USD,1.2738,2012,05,16
USD,1.2682,2012,05,17
USD,1.2721,2012,05,18
USD,1.275,2012,05,21
USD,1.2768,2012,05,22
USD,1.2659,2012,05,23
USD,1.2557,2012,05,24
USD,1.2546,2012,05,25
USD,1.2566,2012,05,28
USD,1.2523,2012,05,29
USD,1.2438,2012,05,30
USD,1.2403,2012,05,31
USD,1.2322,2012,06,01
USD,1.2437,2012,06,04
USD,1.2429,2012,06,05
USD,1.2485,2012,06,06
USD,1.2595,2012,06,07
USD,1.2468,2012,06,08
USD,1.2544,2012,06,11
USD,1.2492,2012,06,12
USD,1.2534,2012,06,13
USD,1.2551,2012,06,14
USD,1.2596,2012,06,15
USD,1.2618,2012,06,18
USD,1.2619,2012,06,19
USD,1.2704,2012,06,20
USD,1.267,2012,06,21
USD,1.2539,2012,06,22
USD,1.2488,2012,06,25
USD,1.2475,2012,06,26
USD,1.2478,2012,06,27
USD,1.2418,2012,06,28
USD,1.259,2012,06,29
USD,1.2593,2012,07,02
USD,1.2575,2012,07,03
USD,1.256,2012,07,04
USD,1.2426,2012,07,05
USD,1.2377,2012,07,06
USD,1.2293,2012,07,09
USD,1.2285,2012,07,10
USD,1.226,2012,07,11
USD,1.2178,2012,07,12
USD,1.2185,2012,07,13
USD,1.2177,2012,07,16
USD,1.2281,2012,07,17
USD,1.2234,2012,07,18
USD,1.2287,2012,07,19
USD,1.22,2012,07,20
USD,1.2105,2012,07,23
USD,1.2089,2012,07,24
USD,1.2134,2012,07,25
USD,1.226,2012,07,26
USD,1.2317,2012,07,27
USD,1.2246,2012,07,30
USD,1.2284,2012,07,31
USD,1.2298,2012,08,01
USD,1.2346,2012,08,02
USD,1.2245,2012,08,03
USD,1.2379,2012,08,06
USD,1.2436,2012,08,07
USD,1.2336,2012,08,08
USD,1.2301,2012,08,09
USD,1.2262,2012,08,10
USD,1.2339,2012,08,13
USD,1.2352,2012,08,14
USD,1.2276,2012,08,15
USD,1.2279,2012,08,16
USD,1.2337,2012,08,17
USD,1.23,2012,08,20
USD,1.2428,2012,08,21
USD,1.2448,2012,08,22
USD,1.2552,2012,08,23
USD,1.2507,2012,08,24
USD,1.253,2012,08,27
USD,1.2548,2012,08,28
USD,1.2545,2012,08,29
USD,1.2544,2012,08,30
USD,1.2611,2012,08,31
USD,1.2568,2012,09,03
USD,1.2579,2012,09,04
USD,1.2578,2012,09,05
USD,1.2638,2012,09,06
USD,1.2706,2012,09,07
USD,1.2776,2012,09,10
USD,1.2787,2012,09,11
USD,1.2896,2012,09,12
USD,1.291,2012,09,13
USD,1.3095,2012,09,14
USD,1.3086,2012,09,17
USD,1.3054,2012,09,18
USD,1.3002,2012,09,19
USD,1.2954,2012,09,20
USD,1.2988,2012,09,21
USD,1.2916,2012,09,24
USD,1.2932,2012,09,25
USD,1.2845,2012,09,26
USD,1.2874,2012,09,27
USD,1.293,2012,09,28
USD,1.2877,2012,10,01
USD,1.293,2012,10,02
USD,1.2904,2012,10,03
USD,1.2951,2012,10,04
USD,1.3002,2012,10,05
USD,1.2958,2012,10,08
USD,1.2953,2012,10,09
USD,1.2889,2012,10,10
USD,1.2918,2012,10,11
USD,1.297,2012,10,12
USD,1.2971,2012,10,15
USD,1.3046,2012,10,16
USD,1.312,2012,10,17
USD,1.3118,2012,10,18
USD,1.3035,2012,10,19
USD,1.3063,2012,10,22
USD,1.3005,2012,10,23
USD,1.2942,2012,10,24
USD,1.2993,2012,10,25
USD,1.2908,2012,10,26
USD,1.2898,2012,10,29
USD,1.2962,2012,10,30
USD,1.2993,2012,10,31